,location,total_sqft,bath,price,bhk
0,Electronic City Phase II,1056.0,2.0,39.07,2.0
1,Chikka Tirupathi,2600.0,5.0,120.0,4.0
2,Uttarahalli,1440.0,2.0,62.0,3.0
3,Lingadheeranahalli,1521.0,3.0,95.0,3.0
4,Kothanur,1200.0,2.0,51.0,2.0
5,Whitefield,1170.0,2.0,38.0,2.0
6,Old Airport Road,2732.0,4.0,204.0,4.0
8,Marathahalli,1310.0,3.0,63.25,3.0
10,Whitefield,1800.0,2.0,70.0,3.0
11,Whitefield,2785.0,5.0,295.0,4.0
12,7th Phase JP Nagar,1000.0,2.0,38.0,2.0
13,Gottigere,1100.0,2.0,40.0,2.0
14,Sarjapur,2250.0,3.0,148.0,3.0
15,Mysore Road,1175.0,2.0,73.5,2.0
16,Bisuvanahalli,1180.0,3.0,48.0,3.0
17,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3.0
19,other,1100.0,2.0,48.0,2.0
20,Kengeri,600.0,1.0,15.0,1.0
21,Binny Pete,1755.0,3.0,122.0,3.0
23,Bellandur,1767.0,3.0,103.0,3.0
24,Thanisandra,510.0,1.0,25.25,1.0
25,other,1250.0,3.0,56.0,3.0
26,Electronic City,660.0,1.0,23.1,2.0
27,Whitefield,1610.0,3.0,81.0,3.0
28,Ramagondanahalli,1151.0,2.0,48.77,2.0
29,Electronic City,1025.0,2.0,47.0,3.0
30,Yelahanka,2475.0,4.0,186.0,4.0
31,Bisuvanahalli,1075.0,2.0,35.0,3.0
32,Hebbal,1760.0,2.0,123.0,3.0
33,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3.0
34,Kasturi Nagar,1925.0,3.0,125.0,3.0
35,Kanakpura Road,700.0,2.0,36.0,2.0
36,Electronics City Phase 1,1070.0,2.0,45.5,2.0
37,Kundalahalli,1724.0,3.0,125.0,3.0
38,Chikkalasandra,1290.0,2.0,56.12,3.0
39,Uttarahalli,1143.0,2.0,45.0,2.0
40,Murugeshpalya,1296.0,2.0,81.0,2.0
41,Sarjapur  Road,1254.0,3.0,38.0,3.0
42,other,600.0,1.0,38.0,1.0
43,Yelahanka,660.0,1.0,48.0,1.0
44,Kanakpura Road,1330.74,2.0,91.79,2.0
46,Doddathoguru,970.0,2.0,33.0,2.0
47,Whitefield,1459.0,2.0,94.82,2.0
49,other,869.0,2.0,36.0,2.0
50,other,1270.0,2.0,50.0,2.0
51,Bhoganhalli,1670.0,3.0,99.0,3.0
52,Whitefield,2010.0,3.0,91.0,3.0
53,Lakshminarayana Pura,1185.0,2.0,75.0,2.0
54,Yelahanka,1600.0,2.0,75.0,3.0
55,Begur Road,1200.0,2.0,44.0,2.0
56,Devanahalli,3210.0,2.0,192.0,4.0
59,other,840.0,2.0,45.0,2.0
